Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ACCELYA,EQ,1003.2,997.1,1028.0,991.2,1023.9,1021.85,1014.93,6135,622662110000.0,791,3204,0.5222
2015-01-02,ACCELYA,EQ,1021.85,1041.0,1041.0,991.8,1013.0,1006.9,1024.81,8551,876315319999.9999,722,4550,0.5321
2015-01-05,ACCELYA,EQ,1006.9,1000.0,1020.0,995.15,1000.0,1004.6,1008.03,3846,387690220000.0,483,1978,0.5143
2015-01-06,ACCELYA,EQ,1004.6,1010.0,1010.0,967.0,982.0,977.05,977.33,13437,1313234505000.0,1087,9386,0.6985
2015-01-07,ACCELYA,EQ,977.05,993.65,1006.0,981.0,1005.0,999.9,994.52,5928,589552600000.0,692,3830,0.6461
2015-01-08,ACCELYA,EQ,999.9,1000.0,1040.0,984.0,988.5,998.35,1003.52,6054,607528330000.0,592,2977,0.4917
2015-01-09,ACCELYA,EQ,998.35,1005.95,1006.0,979.0,990.5,988.05,989.66,5754,569448435000.0,569,3553,0.6175
2015-01-12,ACCELYA,EQ,988.05,985.05,1000.0,980.15,980.5,987.0,991.66,3494,346486520000.0,464,2016,0.5770000000000001
2015-01-13,ACCELYA,EQ,987.0,988.0,994.0,967.0,989.35,985.8,983.16,6426,631781690000.0,940,3882,0.6041
2015-01-14,ACCELYA,EQ,985.8,985.0,1003.05,963.0,981.0,982.0,984.04,6612,650646840000.0,692,3364,0.5088
2015-01-15,ACCELYA,EQ,982.0,1000.0,1037.95,986.25,1031.95,1026.15,1021.08,23790,2429160890000.0,1750,15273,0.642
2015-01-16,ACCELYA,EQ,1026.15,1030.0,1060.0,1025.0,1055.0,1052.1,1047.9,25730,2696241515000.0,1716,16283,0.6328
2015-01-19,ACCELYA,EQ,1052.1,1050.0,1057.9,1030.0,1037.0,1040.45,1041.81,5638,587374895000.0,562,4035,0.7156999999999999
2015-01-20,ACCELYA,EQ,1040.45,1058.45,1058.45,1030.0,1035.2,1035.95,1044.18,10252,1070495950000.0,1108,8721,0.8506999999999999
2015-01-21,ACCELYA,EQ,1035.95,1030.0,1055.0,1023.0,1023.0,1028.1,1035.44,6131,634825570000.0,932,4343,0.7084
2015-01-22,ACCELYA,EQ,1028.1,1034.9,1049.0,1005.0,1017.95,1013.05,1020.2,5701,581615240000.0,875,3592,0.6301
2015-01-23,ACCELYA,EQ,1013.05,1037.9,1037.9,970.1,1016.5,1013.1,1002.35,12548,1257749990000.0,1218,7605,0.6061
2015-01-27,ACCELYA,EQ,1013.1,1010.0,1023.7,990.0,1002.3,997.2,1002.04,7617,763256475000.0,724,5089,0.6681
2015-01-28,ACCELYA,EQ,997.2,999.0,1014.75,966.3,980.0,977.8,984.06,26580,2615640310000.0,1872,9457,0.3558
2015-01-29,ACCELYA,EQ,977.8,970.15,1030.0,922.0,1002.0,1003.8,973.21,40072,3899846540000.0,2595,25203,0.6289
2015-01-30,ACCELYA,EQ,1003.8,1005.0,1005.0,963.0,973.5,971.3,976.39,13256,1294301510000.0,1322,8155,0.6152000000000001
2015-02-02,ACCELYA,EQ,971.3,963.15,986.95,935.0,950.0,946.55,949.18,17573,1667994685000.0,1225,12703,0.7229000000000001
2015-02-03,ACCELYA,EQ,946.55,950.0,966.7,932.0,940.0,938.2,941.28,7770,731376115000.0,997,4542,0.5846
2015-02-04,ACCELYA,EQ,938.2,940.0,958.0,937.0,945.0,946.75,947.15,8335,789451535000.0,665,5144,0.6172
2015-02-05,ACCELYA,EQ,946.75,964.9,964.9,933.0,937.0,941.85,945.24,12472,1178899490000.0,1196,7151,0.5734
2015-02-06,ACCELYA,EQ,941.85,926.0,938.0,905.0,922.7,927.7,924.38,6217,574689175000.0,477,4260,0.6851999999999999
2015-02-09,ACCELYA,EQ,927.7,920.0,936.0,905.0,922.9,916.1,915.71,12723,1165057255000.0,993,10344,0.813
2015-02-10,ACCELYA,EQ,916.1,938.85,938.85,920.1,930.0,925.4,926.69,5978,553977090000.0,487,4988,0.8344
2015-02-11,ACCELYA,EQ,925.4,913.8,940.0,913.0,921.0,925.0,936.38,34135,3196327870000.0,432,32547,0.9535
2015-02-12,ACCELYA,EQ,925.0,915.0,931.9,915.0,927.8,924.05,923.87,5104,471541880000.0,749,3041,0.5958
2015-02-13,ACCELYA,EQ,924.05,928.0,939.8,912.1,922.0,923.8,924.28,6312,583403210000.0,814,3767,0.5968
2015-02-16,ACCELYA,EQ,923.8,917.15,946.95,908.0,920.0,919.8,916.59,11357,1040969869999.9999,1180,8121,0.7151000000000001
2015-02-18,ACCELYA,EQ,919.8,920.0,965.0,910.3,955.0,960.35,945.36,14202,1342597640000.0,1078,10339,0.728
2015-02-19,ACCELYA,EQ,960.35,960.0,964.95,940.0,954.0,948.3,949.21,4426,420118530000.0,446,2965,0.6698999999999999
2015-02-20,ACCELYA,EQ,948.3,940.15,958.35,939.0,940.05,942.05,942.37,2348,221269625000.0,301,1684,0.7172
2015-02-23,ACCELYA,EQ,942.05,937.1,955.0,931.5,942.1,948.85,943.07,5309,500674825000.0,430,3817,0.7190000000000001
2015-02-24,ACCELYA,EQ,948.85,933.15,960.0,933.15,948.5,946.55,946.04,5786,547378815000.00006,1227,2990,0.5168
2015-02-25,ACCELYA,EQ,946.55,936.1,948.9,912.15,916.0,922.75,931.32,3187,296810515000.0,411,1934,0.6068
2015-02-26,ACCELYA,EQ,922.75,933.0,959.0,923.0,943.0,938.05,940.29,5162,485377005000.0,1062,2719,0.5267000000000001
2015-02-27,ACCELYA,EQ,938.05,938.0,954.0,928.0,946.75,945.4,937.43,2720,254979645000.00003,333,1889,0.6945
2015-02-28,ACCELYA,EQ,945.4,940.6,951.2,916.1,916.1,923.25,930.56,3048,283634465000.0,356,2042,0.6698999999999999
2015-03-02,ACCELYA,EQ,923.25,939.9,959.0,939.85,955.0,953.8,951.72,11239,1069640715000.0,525,8665,0.7709999999999999
