Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,ACE,EQ,37.85,38.7,40.75,37.6,40.25,40.15,39.81,423127,1684402505000.0,2583,175618,0.41500000000000004
2015-01-02,ACE,EQ,40.15,40.5,42.1,40.25,40.7,40.55,41.23,437905,1805436560000.0002,2549,233704,0.5337
2015-01-05,ACE,EQ,40.55,41.9,41.9,40.1,40.9,40.7,40.88,235022,960702130000.0001,1469,139450,0.5933
2015-01-06,ACE,EQ,40.7,40.9,41.8,40.0,40.25,40.25,40.87,633333,2588134575000.0,4752,230506,0.364
2015-01-07,ACE,EQ,40.25,40.0,40.5,38.3,38.8,38.8,39.29,218035,856659825000.0,1385,99703,0.4573
2015-01-08,ACE,EQ,38.8,39.95,39.95,39.25,39.9,39.4,39.6,119754,474241125000.0,693,65625,0.5479999999999999
2015-01-09,ACE,EQ,39.4,40.2,41.0,39.0,39.15,39.25,39.8,169144,673178270000.0,981,86531,0.5115999999999999
2015-01-12,ACE,EQ,39.25,39.5,39.6,38.1,39.05,39.15,39.15,115351,451648625000.0,634,49446,0.42869999999999997
2015-01-13,ACE,EQ,39.15,39.5,40.1,38.1,38.4,38.4,38.93,175737,684179490000.0,1360,85728,0.4878
2015-01-14,ACE,EQ,38.4,38.25,38.9,38.05,38.1,38.15,38.24,98883,378090050000.0,896,54972,0.5559000000000001
2015-01-15,ACE,EQ,38.15,39.0,39.75,38.75,38.8,39.0,39.14,155943,610410510000.0,1019,86502,0.5547
2015-01-16,ACE,EQ,39.0,38.85,39.5,38.25,38.4,38.5,38.91,121846,474057730000.0,709,59255,0.4863
2015-01-19,ACE,EQ,38.5,38.55,39.5,37.95,38.2,38.15,38.62,171491,662264745000.0,1226,97360,0.5677000000000001
2015-01-20,ACE,EQ,38.15,38.25,39.2,38.2,38.6,38.5,38.55,121793,469547459999.99994,653,65928,0.5413
2015-01-21,ACE,EQ,38.5,38.55,39.0,37.5,38.55,38.35,38.26,154009,589265110000.0,990,82136,0.5333
2015-01-22,ACE,EQ,38.35,38.9,40.15,38.0,38.7,38.7,39.22,167895,658528590000.0,992,75397,0.4491
2015-01-23,ACE,EQ,38.7,39.0,39.15,37.1,37.65,37.55,37.92,171570,650604115000.0,979,94442,0.5505
2015-01-27,ACE,EQ,37.55,37.6,39.0,37.05,37.35,37.4,37.62,116204,437170645000.0,846,48838,0.4203
